Mach Number,Reynolds Number,Angle of Attack,CL,CD,CM
0.35,0.0,-14.0,-1.605,0.0,-0.0922
0.35,0.0,-13.0,-1.4367,0.0,-0.0878
0.35,0.0,-12.0,-1.2752,0.0,-0.0845
0.35,0.0,-11.0,-1.1192,0.0,-0.0822
0.35,0.0,-10.0,-0.9678,0.0,-0.0807
0.35,0.0,-9.0,-0.82,0.0,-0.0799
0.35,0.0,-8.0,-0.6752,0.0,-0.0797
0.35,0.0,-7.0,-0.5329,0.0,-0.08
0.35,0.0,-6.0,-0.3925,0.0,-0.0808
0.35,0.0,-5.0,-0.2537,0.0,-0.0819
0.35,0.0,-4.0,-0.1161,0.0,-0.0833
0.35,0.0,-3.0,0.0206,0.0,-0.085
0.35,0.0,-2.0,0.1566,0.0,-0.0868
0.35,0.0,-1.0,0.2922,0.0,-0.0888
0.35,0.0,0.0,0.4276,0.0,-0.0909
0.35,0.0,1.0,0.5629,0.0,-0.093
0.35,0.0,2.0,0.6985,0.0,-0.0952
0.35,0.0,3.0,0.8345,0.0,-0.0972
0.35,0.0,4.0,0.9712,0.0,-0.0992
0.35,0.0,5.0,1.1086,0.0,-0.101
0.35,0.0,6.0,1.2471,0.0,-0.1027
0.35,0.0,7.0,1.387,0.0,-0.1041
0.35,0.0,8.0,1.5284,0.0,-0.1053
0.35,0.0,9.0,1.6718,0.0,-0.1061
0.35,0.0,10.0,1.8176,0.0,-0.1066
0.35,0.0,11.0,1.9661,0.0,-0.1066
0.35,0.0,12.0,2.1179,0.0,-0.1062
0.35,0.0,13.0,2.2737,0.0,-0.1052
0.35,0.0,14.0,2.4343,0.0,-0.1035
0.35,0.0,15.0,2.6006,0.0,-0.1012
0.35,0.0,16.0,2.7739,0.0,-0.0981
0.35,0.0,17.0,2.9557,0.0,-0.094
0.35,0.0,18.0,3.1479,0.0,-0.089
0.35,0.0,19.0,3.3532,0.0,-0.0827
0.35,0.0,20.0,3.575,0.0,-0.075
0.35,0.0,-20.0,-2.9009,0.0,-0.1596
0.35,0.0,-19.0,-2.6294,0.0,-0.141
0.35,0.0,-18.0,-2.3885,0.0,-0.1263
0.35,0.0,-17.0,-2.1702,0.0,-0.1146
0.35,0.0,-16.0,-1.9693,0.0,-0.1053
0.35,0.0,-15.0,-1.7819,0.0,-0.098
0.35,0.0,-14.0,-1.605,0.0,-0.0922
0.35,0.0,-13.0,-1.4367,0.0,-0.0878
0.35,0.0,-12.0,-1.2752,0.0,-0.0845
0.35,0.0,-11.0,-1.1192,0.0,-0.0822
0.35,0.0,-10.0,-0.9678,0.0,-0.0807
0.35,0.0,-9.0,-0.82,0.0,-0.0799
0.35,0.0,-8.0,-0.6752,0.0,-0.0797
0.35,0.0,-7.0,-0.5329,0.0,-0.08
0.35,0.0,-6.0,-0.3925,0.0,-0.0808
0.35,0.0,-5.0,-0.2537,0.0,-0.0819
0.35,0.0,-4.0,-0.1161,0.0,-0.0833
0.35,0.0,-3.0,0.0206,0.0,-0.085
0.35,0.0,-2.0,0.1566,0.0,-0.0868
0.35,0.0,-1.0,0.2922,0.0,-0.0888
0.35,0.0,0.0,0.4276,0.0,-0.0909
0.35,0.0,1.0,0.5629,0.0,-0.093
0.35,0.0,2.0,0.6985,0.0,-0.0952
0.35,0.0,3.0,0.8345,0.0,-0.0972
0.35,0.0,4.0,0.9712,0.0,-0.0992
0.35,0.0,5.0,1.1086,0.0,-0.101
0.35,0.0,6.0,1.2471,0.0,-0.1027
0.35,0.0,7.0,1.387,0.0,-0.1041
0.35,0.0,8.0,1.5284,0.0,-0.1053
0.35,0.0,9.0,1.6718,0.0,-0.1061
0.35,0.0,10.0,1.8176,0.0,-0.1066
0.35,0.0,11.0,1.9661,0.0,-0.1066
0.35,0.0,12.0,2.1179,0.0,-0.1062
0.35,0.0,13.0,2.2737,0.0,-0.1052
0.35,0.0,14.0,2.4343,0.0,-0.1035
0.35,0.0,15.0,2.6006,0.0,-0.1012
0.35,0.0,16.0,2.7739,0.0,-0.0981
0.35,0.0,17.0,2.9557,0.0,-0.094
0.35,0.0,18.0,3.1479,0.0,-0.089
0.35,0.0,19.0,3.3532,0.0,-0.0827
0.35,0.0,20.0,3.575,0.0,-0.075
0.35,0.0,-20.0,-2.9009,0.0,-0.1596
0.35,0.0,-19.0,-2.6294,0.0,-0.141
0.35,0.0,-18.0,-2.3885,0.0,-0.1263
0.35,0.0,-17.0,-2.1702,0.0,-0.1146
0.35,0.0,-16.0,-1.9693,0.0,-0.1053
0.35,0.0,-15.0,-1.7819,0.0,-0.098
0.35,0.0,-14.0,-1.605,0.0,-0.0922
0.35,0.0,-13.0,-1.4367,0.0,-0.0878
0.35,0.0,-12.0,-1.2752,0.0,-0.0845
0.35,0.0,-11.0,-1.1192,0.0,-0.0822
0.35,0.0,-10.0,-0.9678,0.0,-0.0807
0.35,0.0,-9.0,-0.82,0.0,-0.0799
0.35,0.0,-8.0,-0.6752,0.0,-0.0797
0.35,0.0,-7.0,-0.5329,0.0,-0.08
0.35,0.0,-6.0,-0.3925,0.0,-0.0808
0.35,0.0,-5.0,-0.2537,0.0,-0.0819
0.35,0.0,-4.0,-0.1161,0.0,-0.0833
0.35,0.0,-3.0,0.0206,0.0,-0.085
0.35,0.0,-2.0,0.1566,0.0,-0.0868
0.35,0.0,-1.0,0.2922,0.0,-0.0888
0.35,0.0,0.0,0.4276,0.0,-0.0909
0.35,0.0,1.0,0.5629,0.0,-0.093
0.35,0.0,2.0,0.6985,0.0,-0.0952
0.35,0.0,3.0,0.8345,0.0,-0.0972
0.35,0.0,4.0,0.9712,0.0,-0.0992
0.35,0.0,5.0,1.1086,0.0,-0.101
0.35,0.0,6.0,1.2471,0.0,-0.1027
0.35,0.0,7.0,1.387,0.0,-0.1041
0.35,0.0,8.0,1.5284,0.0,-0.1053
0.35,0.0,9.0,1.6718,0.0,-0.1061
0.35,0.0,10.0,1.8176,0.0,-0.1066
0.35,0.0,11.0,1.9661,0.0,-0.1066
0.35,0.0,12.0,2.1179,0.0,-0.1062
0.35,0.0,13.0,2.2737,0.0,-0.1052
0.35,0.0,14.0,2.4343,0.0,-0.1035
0.35,0.0,15.0,2.6006,0.0,-0.1012
0.35,0.0,16.0,2.7739,0.0,-0.0981
0.35,0.0,17.0,2.9557,0.0,-0.094
0.35,0.0,18.0,3.1479,0.0,-0.089
0.35,0.0,19.0,3.3532,0.0,-0.0827
0.35,0.0,20.0,3.575,0.0,-0.075
0.35,0.0,-20.0,-2.9009,0.0,-0.1596
0.35,0.0,-19.0,-2.6294,0.0,-0.141
0.35,0.0,-18.0,-2.3885,0.0,-0.1263
0.35,0.0,-17.0,-2.1702,0.0,-0.1146
0.35,0.0,-16.0,-1.9693,0.0,-0.1053
0.35,0.0,-15.0,-1.7819,0.0,-0.098
0.35,0.0,-14.0,-1.605,0.0,-0.0922
0.35,0.0,-13.0,-1.4367,0.0,-0.0878
